month,scheme_code,scheme_name,monthly_sip_amt,units_purchased,total_units,total_invested,current_value,xirr_pct,absolute_return_pct,xirr_flag
2021-04-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,35.2262,1472.4359,280000.0,404181.34,15.65,44.35,False
2021-05-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,31.4941,1503.93,290000.0,473965.46,8.36,63.44,False
2021-06-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,51.4562,1555.3862,300000.0,288615.36,10.81,-3.79,False
2021-07-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,28.9948,1584.3809,310000.0,550860.56,9.91,77.7,False
2021-08-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,76.3359,1660.7168,320000.0,212971.15,10.35,-33.45,False
2021-09-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,33.6123,1694.3291,330000.0,516613.22,7.82,56.55,False
2021-10-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,187.9699,1882.2991,340000.0,98853.13,15.63,-70.93,False
2021-11-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,44.0509,1926.35,350000.0,441622.78,12.54,26.18,False
2021-12-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,55.3649,1981.7148,360000.0,353295.27,12.09,-1.86,False
2022-01-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,37.5601,2019.2749,370000.0,531828.9,9.42,43.74,False
2022-02-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,35.2908,2054.5657,380000.0,569605.95,14.35,49.9,False
2022-03-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,37.6251,2092.1908,390000.0,555390.69,12.94,42.41,False
2022-04-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,45.6371,2137.8279,400000.0,469861.86,13.32,17.47,False
2022-05-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,45.3001,2183.128,410000.0,479470.41,10.56,16.94,False
2022-06-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,191.168,2374.2961,420000.0,122174.28,7.76,-70.91,False
2022-07-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,41.1387,2415.4348,430000.0,573967.99,10.9,33.48,False
2022-08-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,184.6722,2600.107,440000.0,136281.77,7.85,-69.03,False
2022-09-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,42.4989,2642.6059,450000.0,634765.34,12.67,41.06,False
2022-10-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,68.4182,2711.0241,460000.0,392662.54,18.81,-14.64,False
2022-11-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,25.5024,2736.5265,470000.0,1037673.8,14.93,120.78,False
2022-12-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,178.5714,2915.0979,480000.0,162881.56,14.36,-66.07,False
2023-01-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,29.8855,2944.9835,490000.0,987568.23,6.38,101.54,False
2023-02-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,34.976,2979.9595,500000.0,853626.87,13.01,70.73,False
2023-03-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,30.106,3010.0655,510000.0,955991.39,17.83,87.45,False
2023-04-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,27.1429,3037.2084,520000.0,1125932.96,14.02,116.53,False
2023-05-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,114.338,3151.5464,530000.0,269209.05,14.07,-49.21,False
2023-06-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,119.46,3271.0065,540000.0,279782.42,12.76,-48.19,False
2023-07-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,97.9336,3368.9401,550000.0,343937.99,9.32,-37.47,False
2023-08-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,85.3388,3454.2789,560000.0,403022.1,10.46,-28.03,False
2023-09-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,42.6876,3496.9665,570000.0,828570.93,9.45,45.36,False
2023-10-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,29.8214,3526.7878,580000.0,1195993.31,9.48,106.21,False
2023-11-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,69.6573,3596.4451,590000.0,513596.58,13.85,-12.95,False
2023-12-01,118632,Nippon India Large Cap Fund - Direct - Growth,10000,52.9353,3649.3804,600000.0,679700.44,13.95,13.28,False
2019-01-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,65.6901,65.6901,10000.0,10008.72,13.56,0.09,False
2019-02-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,68.3995,134.0895,20000.0,19500.24,13.55,-2.5,False
2019-03-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,41.9886,176.0781,30000.0,41863.14,15.03,39.54,False
2019-04-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,91.8527,267.9308,40000.0,29591.4,14.43,-26.02,False
2019-05-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,47.6054,315.5362,50000.0,66009.36,17.78,32.02,False
2019-06-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,32.2706,347.8068,60000.0,108821.47,12.74,81.37,False
2019-07-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,31.4396,379.2464,70000.0,118791.1,11.71,69.7,False
2019-08-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,41.2541,420.5005,80000.0,102162.5,9.64,27.7,False
2019-09-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,111.5822,532.0828,90000.0,47406.47,11.5,-47.33,False
2019-10-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,111.1482,643.2309,100000.0,57936.21,6.71,-42.06,False
2019-11-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,31.1245,674.3554,110000.0,216077.5,10.87,96.43,False
2019-12-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,29.5727,703.9281,120000.0,237933.87,15.11,98.28,False
2020-01-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,56.0538,759.9819,130000.0,141146.08,14.04,8.57,False
2020-02-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,29.5937,789.5756,140000.0,260218.48,10.96,85.87,False
2020-03-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,154.8947,944.4703,150000.0,61701.78,13.45,-58.87,False
2020-04-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,33.1521,977.6224,160000.0,300713.07,11.71,87.95,False
2020-05-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,41.4559,1019.0783,170000.0,244034.94,17.26,43.55,False
2020-06-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,25.2258,1044.3041,180000.0,414468.8,8.95,130.26,False
2020-07-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,116.4822,1160.7863,190000.0,102593.55,7.51,-46.0,False
2020-08-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,29.3669,1190.1532,200000.0,376942.15,14.31,88.47,False
2020-09-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,31.9519,1222.1051,210000.0,389448.78,13.24,85.45,False
2020-10-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,64.8508,1286.956,220000.0,193279.2,11.82,-12.15,False
2020-11-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,25.015,1311.971,230000.0,521555.68,10.39,126.76,False
2020-12-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,48.2137,1360.1847,240000.0,290083.24,8.86,20.87,False
2021-01-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,58.1395,1418.3242,250000.0,245494.05,15.58,-1.8,False
2021-02-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,29.7743,1448.0985,260000.0,490068.71,15.72,88.49,False
2021-03-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,49.099,1497.1975,270000.0,308372.14,13.29,14.21,False
2021-04-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,25.1326,1522.3301,280000.0,610163.91,13.84,117.92,False
2021-05-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,31.1071,1553.4372,290000.0,495532.82,8.09,70.87,False
2021-06-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,75.2276,1628.6648,300000.0,220629.39,15.49,-26.46,False
2021-07-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,29.9625,1658.6273,310000.0,556356.61,10.35,79.47,False
2021-08-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,39.0976,1697.7249,320000.0,420699.05,12.26,31.47,False
2021-09-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,57.8972,1755.6221,330000.0,295050.18,7.53,-10.59,False
2021-10-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,33.4717,1789.0938,340000.0,534288.04,9.71,57.14,False
2021-11-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,36.8365,1825.9303,350000.0,499108.59,11.52,42.6,False
2021-12-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,92.5155,1918.4458,360000.0,204848.91,6.89,-43.1,False
2022-01-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,101.2863,2019.7321,370000.0,196006.7,9.55,-47.03,False
2022-02-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,81.7528,2101.4849,380000.0,250754.24,11.01,-34.01,False
2022-03-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,81.6793,2183.1642,390000.0,261151.94,11.51,-33.04,False
2022-04-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,141.2828,2324.4471,400000.0,165315.43,9.52,-58.67,False
2022-05-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,57.8737,2382.3208,410000.0,415143.52,7.92,1.25,False
2022-06-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,67.3945,2449.7153,420000.0,355403.48,11.66,-15.38,False
2022-07-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,41.9164,2491.6317,430000.0,602596.52,14.6,40.14,False
2022-08-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,61.2445,2552.8762,440000.0,430275.6,10.87,-2.21,False
2022-09-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,33.7359,2586.6121,450000.0,764768.41,8.9,69.95,False
2022-10-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,66.107,2652.7191,460000.0,391214.67,12.69,-14.95,False
2022-11-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,69.6524,2722.3715,470000.0,384785.88,15.7,-18.13,False
2022-12-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,28.5461,2750.9177,480000.0,935488.71,13.46,94.89,False
2023-01-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,25.3216,2776.2393,490000.0,1074338.71,9.54,119.25,False
2023-02-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,34.7524,2810.9917,500000.0,817584.2,9.97,63.52,False
2023-03-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,120.0048,2930.9965,510000.0,241720.43,9.56,-52.6,False
2023-04-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,25.8418,2956.8383,520000.0,1185056.6,10.15,127.9,False
2023-05-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,30.7702,2987.6084,530000.0,971943.95,11.39,83.39,False
2023-06-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,26.9128,3014.5213,540000.0,1125065.88,10.16,108.35,False
2023-07-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,25.1655,3039.6867,550000.0,1203029.05,13.18,118.73,False
2023-08-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,28.2909,3067.9777,560000.0,1065720.51,15.27,90.31,False
2023-09-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,105.921,3173.8987,570000.0,306752.3,13.82,-46.18,False
2023-10-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,28.3182,3202.2168,580000.0,1132379.15,3.03,95.24,False
2023-11-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,72.7855,3275.0023,590000.0,453770.79,10.83,-23.09,False
2023-12-01,118778,Mirae Asset Large Cap Fund - Direct - Growth,10000,33.4459,3308.4483,600000.0,984320.69,6.31,64.05,False
2019-01-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,31.3352,31.3352,10000.0,10085.92,10.68,0.86,False
2019-02-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,35.6939,67.0291,20000.0,19127.96,13.08,-4.36,False
2019-03-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,57.3888,124.4179,30000.0,21816.47,10.13,-27.28,False
2019-04-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,36.1729,160.5908,40000.0,43006.35,10.5,7.52,False
2019-05-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,152.6718,313.2626,50000.0,20634.68,10.67,-58.73,False
2019-06-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,25.364,338.6265,60000.0,134285.85,11.3,123.81,False
2019-07-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,34.8286,373.4552,70000.0,108149.84,9.07,54.5,False
2019-08-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,52.6676,426.1228,80000.0,81220.06,10.08,1.53,False
2019-09-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,31.904,458.0268,90000.0,139147.09,11.5,54.61,False
2019-10-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,25.7732,483.8,100000.0,193482.18,7.62,93.48,False
2019-11-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,49.8355,533.6356,110000.0,107335.0,14.39,-2.42,False
2019-12-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,186.2544,719.89,120000.0,40428.86,10.52,-66.31,False
2020-01-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,71.144,791.034,130000.0,109782.32,8.5,-15.55,False
2020-02-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,43.7178,834.7517,140000.0,195296.54,9.4,39.5,False
2020-03-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,43.1816,877.9334,150000.0,201804.87,6.45,34.54,False
2020-04-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,39.4976,917.4309,160000.0,236381.66,15.47,47.74,False
2020-05-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,39.7883,957.2193,170000.0,244647.42,7.18,43.91,False
2020-06-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,48.539,1005.7582,180000.0,209722.42,6.98,16.51,False
2020-07-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,53.5045,1059.2628,190000.0,198206.03,12.62,4.32,False
2020-08-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,31.2188,1090.4816,200000.0,351470.02,13.6,75.74,False
2020-09-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,39.061,1129.5426,210000.0,289127.73,6.11,37.68,False
2020-10-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,44.4129,1173.9554,220000.0,267156.75,12.29,21.43,False
2020-11-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,58.5686,1232.524,230000.0,206642.18,7.29,-10.16,False
2020-12-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,170.6485,1403.1725,240000.0,84758.5,15.69,-64.68,False
2021-01-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,115.4868,1518.6592,250000.0,133357.38,9.97,-46.66,False
2021-02-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,51.1274,1569.7866,260000.0,291578.47,14.29,12.15,False
2021-03-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,25.8665,1595.6531,270000.0,621403.53,10.88,130.15,False
2021-04-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,110.3509,1706.004,280000.0,158075.94,14.54,-43.54,False
2021-05-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,26.3685,1732.3726,290000.0,659298.81,12.11,127.34,False
2021-06-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,100.4117,1832.7843,300000.0,182713.04,14.04,-39.1,False
2021-07-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,62.8299,1895.6141,310000.0,296531.83,13.28,-4.34,False
2021-08-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,47.7623,1943.3764,320000.0,399393.24,16.01,24.81,False
2021-09-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,81.6993,2025.0758,330000.0,250507.24,9.94,-24.09,False
2021-10-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,45.6579,2070.7337,340000.0,454263.16,9.44,33.61,False
2021-11-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,46.1553,2116.889,350000.0,472442.25,16.87,34.98,False
2021-12-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,49.1739,2166.0629,360000.0,446624.14,16.67,24.06,False
2022-01-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,34.0287,2200.0915,370000.0,648503.74,14.29,75.27,False
2022-02-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,61.8735,2261.9651,380000.0,374533.46,11.98,-1.44,False
2022-03-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,64.4787,2326.4437,390000.0,361321.26,14.8,-7.35,False
2022-04-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,29.9787,2356.4225,400000.0,796195.2,9.73,99.05,False
2022-05-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,110.7665,2467.189,410000.0,212996.03,11.47,-48.05,False
2022-06-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,28.801,2495.99,420000.0,830287.59,9.03,97.69,False
2022-07-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,36.1285,2532.1184,430000.0,688609.92,10.29,60.14,False
2022-08-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,34.8432,2566.9617,440000.0,748806.63,15.11,70.18,False
2022-09-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,93.006,2659.9676,450000.0,288909.71,13.9,-35.8,False
2022-10-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,25.3569,2685.3245,460000.0,1072908.21,4.51,133.24,False
2022-11-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,73.8716,2759.1961,470000.0,373588.56,6.61,-20.51,False
2022-12-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,90.0414,2849.2375,480000.0,319658.52,5.72,-33.4,False
2023-01-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,94.2951,2943.5327,490000.0,311035.12,13.64,-36.52,False
2023-02-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,40.6587,2984.1913,500000.0,717554.03,14.89,43.51,False
2023-03-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,25.943,3010.1344,510000.0,1172042.93,13.14,129.81,False
2023-04-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,76.2486,3086.3829,520000.0,410429.85,10.92,-21.07,False
2023-05-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,52.1458,3138.5287,530000.0,603704.38,12.03,13.91,False
2023-06-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,87.2905,3225.8192,540000.0,369457.1,9.98,-31.58,False
2023-07-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,36.4737,3262.293,550000.0,872195.88,10.99,58.58,False
2023-08-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,49.6894,3311.9824,560000.0,661311.51,9.79,18.09,False
2023-09-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,166.0578,3478.0402,570000.0,213016.79,8.48,-62.63,False
2023-10-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,37.7444,3515.7846,580000.0,928276.85,15.5,60.05,False
2023-11-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,83.9913,3599.7759,590000.0,436382.18,15.65,-26.04,False
2023-12-01,118825,Canara Robeco Bluechip Equity Fund - Direct,10000,38.8697,3638.6455,600000.0,925053.57,14.35,54.18,False
2019-01-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,33.9213,33.9213,10000.0,9998.38,10.14,-0.02,False
2019-02-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,75.7863,109.7076,20000.0,14741.76,11.92,-26.29,False
2019-03-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,35.7884,145.496,30000.0,39615.44,7.5,32.05,False
2019-04-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,33.7507,179.2467,40000.0,53086.73,4.74,32.72,False
2019-05-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,198.4915,377.7382,50000.0,18833.23,12.69,-62.33,False
2019-06-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,46.1084,423.8466,60000.0,89980.56,14.98,49.97,False
2019-07-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,103.6914,527.538,70000.0,52087.64,8.95,-25.59,False
2019-08-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,77.4174,604.9554,80000.0,77676.29,14.98,-2.9,False
2019-09-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,34.7234,639.6788,90000.0,184216.29,7.82,104.68,False
2019-10-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,187.7934,827.4723,100000.0,43936.59,9.44,-56.06,False
2019-11-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,34.0762,861.5485,110000.0,258433.72,13.82,134.94,False
2019-12-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,29.7628,891.3112,120000.0,297592.44,12.43,147.99,False
2020-01-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,25.2621,916.5733,130000.0,353333.16,9.74,171.79,False
2020-02-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,50.5536,967.1269,140000.0,197250.45,12.16,40.89,False
2020-03-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,103.8853,1071.0122,150000.0,105013.39,12.7,-29.99,False
2020-04-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,133.7077,1204.7199,160000.0,92469.37,6.0,-42.21,False
2020-05-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,54.3272,1259.0471,170000.0,230880.4,16.93,35.81,False
2020-06-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,32.7043,1291.7514,180000.0,402532.19,15.98,123.63,False
2020-07-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,116.4822,1408.2336,190000.0,120880.5,10.39,-36.38,False
2020-08-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,62.6292,1470.8628,200000.0,230028.02,8.71,15.01,False
2020-09-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,27.9057,1498.7685,210000.0,545752.87,13.54,159.88,False
2020-10-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,102.0408,1600.8093,220000.0,156670.43,13.52,-28.79,False
2020-11-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,31.1808,1631.9901,230000.0,524886.73,14.89,128.21,False
2020-12-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,31.8867,1663.8769,240000.0,531750.82,8.8,121.56,False
2021-01-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,103.5197,1767.3965,250000.0,171664.9,6.99,-31.33,False
2021-02-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,25.1553,1792.5519,260000.0,714488.94,13.81,174.8,False
2021-03-01,118989,UTI Mastershare Fund - Direct Plan - Growth,10000,100.0,1892.5519,270000.0,184282.62,10.75,-31.75,False
